Serbian,English
dosta,enough
doći,to come
godine,years
oprostite,excuse me
siguran,safe
problem,problem
dobra,good
sutra,tomorrow
sebe,yourself
ubiti,kill
koga,whom
ma,yes
nakon,after
način,way
kroz,through
radim,I work.
ko,who
gore,up
pravu,right
nećeš,you won't
mali,small
čuo,heard
unutra,inside
dugo,long
brzo,quickly
čini,spell
ju,her
vratiti,return
jedna,one
ova,this one
zajedno,together
pod,floor
svaki,each
točno,exactly
otići,to leave
trebam,I need
naš,our
noć,night
nekoliko,a few
nama,to us
njim,with him
želite,you want
dalje,further
vaš,yours
osim,except
moju,mine
auto,car
raditi,to work
ubio,killed
imati,to have
super,great
pravo,right
jednu,one
pomoć,help
previše,too much
minuta,minute
vama,to you
mogli,could
napraviti,to make
protiv,against
par,couple
neko,someone
večeras,tonight
loše,bad
kažeš,you say
nadam,I hope
mogla,could
mrtav,dead
sviđa,like
neke,some
isto,the same
niste,you are not
trebali,should
ovu,this one
teško,difficult
van,out
ljude,people
prvo,first
razgovarati,to talk
dolje,down
ovako,like this
trebalo,should
tom,volume
dio,part
ovog,this one
pusti,let go
znamo,we know
dvije,two
jedno,one
istina,truth
tip,type
imaju,they have
pravi,real
vaše,yours
jednog,one
poput,like
budi,wake up
mislite,you think
broj,number
ruke,hands
zove,calls
